token_id,token_string,rank,frequency,rock_count,math500_acc,math500_delta,ifeval_acc,ifeval_delta
2464, fun,1816,30,15,0.744,0.0020000000000000018,0.744916820702403,-0.001848428835489857
17590, integration,1817,31,15,0.744,0.0020000000000000018,0.7430683918669131,-0.003696857670979714
11016, pad,1818,34,15,0.744,0.0020000000000000018,0.744916820702403,-0.001848428835489857
2526, custom,1824,39,15,0.744,0.0020000000000000018,0.744916820702403,-0.001848428835489857
52280,Important,1829,43,15,0.744,0.0020000000000000018,0.7467652495378928,0.0
3942, community,1830,44,15,0.744,0.0020000000000000018,0.7430683918669131,-0.003696857670979714
7468, programs,1906,33,14,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
5501,Please,1907,33,14,0.744,0.0020000000000000018,0.744916820702403,-0.001848428835489857
4243,dis,1911,35,14,0.744,0.0020000000000000018,0.7412199630314233,-0.00554528650646946
11178, candidates,1912,35,14,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
4650, potential,1917,37,14,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
3085, With,1918,39,14,0.744,0.0020000000000000018,0.7393715341959335,-0.007393715341959317
395,ass,1919,40,14,0.744,0.0020000000000000018,0.7467652495378928,0.0
5904, evidence,1920,40,14,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
26567,Apple,1921,40,14,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
17233, cooking,2021,39,13,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
20599,skip,2121,31,12,0.744,0.0020000000000000018,0.7467652495378928,0.0
52933, trig,2125,34,12,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
20823,overflow,2132,35,12,0.744,0.0020000000000000018,0.7467652495378928,0.0
3397,move,2133,36,12,0.744,0.0020000000000000018,0.7467652495378928,0.0
13014, tech,2134,37,12,0.744,0.0020000000000000018,0.7412199630314233,-0.00554528650646946
6033,Red,2139,39,12,0.744,0.0020000000000000018,0.7467652495378928,0.0
4431,Order,2267,30,11,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
29436, optimize,2268,31,11,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
144582,👉,2269,31,11,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
55980, greedy,2270,31,11,0.744,0.0020000000000000018,0.7467652495378928,0.0
8692, processing,2271,32,11,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
1866,true,2272,32,11,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
10298,DP,2273,32,11,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
3565, details,2274,34,11,0.744,0.0020000000000000018,0.7523105360443623,0.00554528650646946
3705, handle,445,259,83,0.742,0.0,0.7523105360443623,0.00554528650646946
5435, related,1021,102,33,0.742,0.0,0.7467652495378928,0.0
1592,Key,1062,95,31,0.742,0.0,0.7486136783733827,0.001848428835489857
2990, lead,1116,71,29,0.742,0.0,0.7486136783733827,0.001848428835489857
11137, causes,1402,66,21,0.742,0.0,0.7486136783733827,0.001848428835489857
1015,co,1507,59,19,0.742,0.0,0.7486136783733827,0.001848428835489857
39289,starting,1733,50,16,0.742,0.0,0.7486136783733827,0.001848428835489857
5601, rules,1905,32,14,0.742,0.0,0.744916820702403,-0.001848428835489857
