sample_idx,n_tokens,total_kl,rock_count,nonrock_high_count,rock_kl,nonrock_high_kl,rock_pct,nonrock_high_pct,rock_kl_share,nonrock_high_kl_share
73,474,115.30652267497688,232,20,68.46909775156996,34.42982083559036,48.9451476793249,4.219409282700422,59.38007335852884,29.859386994645806
74,1603,198.80963952450773,701,52,93.99150279227644,76.39721482992172,43.7305053025577,3.243917654398004,47.27713556398752,38.427319224882986
75,702,96.77375553920723,312,18,56.89431288758084,28.163969337940216,44.44444444444444,2.5641025641025643,58.791056077730175,29.10290003835779
76,4096,419.3750291774208,1977,109,176.0931693016155,170.18777722120285,48.2666015625,2.6611328125,41.98942642031209,40.581285336663
77,469,52.496228350274436,266,11,30.097579646213326,17.400292217731476,56.71641791044776,2.345415778251599,57.332841981315376,33.145794973365
78,1197,61.3533266195473,546,15,25.324697207641393,29.847691535949707,45.6140350877193,1.2531328320802004,41.2768118747336,48.64885602868055
79,594,75.03630966773748,321,18,40.646700975227304,28.520017564296722,54.04040404040404,3.0303030303030303,54.169376339550595,38.00828917437974
80,261,30.293714859428867,153,4,21.155009850638848,6.626762688159943,58.62068965517241,1.5325670498084292,69.83299984437,21.87504146952573
81,4096,343.6423363657309,2039,80,165.15149861115012,122.44608587026596,49.7802734375,1.953125,48.05912459964859,35.6318395356122
82,650,38.493509384565606,382,11,14.511699108753527,20.27979815006256,58.76923076923077,1.6923076923076923,37.69908054829668,52.68368219550792
83,385,53.67692390040279,207,9,23.26756122720183,27.4556485414505,53.76623376623377,2.3376623376623376,43.34741921942966,51.14981736359239
84,398,93.27888185145143,229,13,51.10122291702362,39.041423976421356,57.537688442211056,3.2663316582914574,54.783271307221916,41.854515407459154
85,628,45.231628791214916,369,8,29.262004019098416,12.552316904067993,58.75796178343949,1.2738853503184713,64.69367741358413,27.75119366584906
86,490,85.35667075303876,258,19,36.19908780114686,42.989425361156464,52.6530612244898,3.877551020408163,42.40920771837642,50.364458901562784
87,4096,656.2789974067641,1716,183,253.75230265261354,274.1415838599205,41.89453125,4.4677734375,38.66530906143518,41.77210987143727
88,604,89.42690473800695,264,20,42.76031974556741,35.486001908779144,43.70860927152318,3.3112582781456954,47.815945179855945,39.681572355369006
89,4096,509.68253826622134,1975,87,286.787933451441,171.2417163848877,48.2177734375,2.1240234375,56.26795346511238,33.597720841564986
90,561,102.57452388693032,288,20,59.00964134268312,37.309272944927216,51.336898395721924,3.5650623885918002,57.528554953596924,36.37284535295906
91,4096,350.06952506478365,1883,70,187.46575226409456,123.96737003326416,45.9716796875,1.708984375,53.551005969286315,35.4122141909733
92,449,76.69343283749393,228,17,33.22860050620606,39.25325357913971,50.779510022271715,3.7861915367483294,43.32652650535841,51.182027100434546
93,960,50.67948606142149,507,8,29.49677416583007,12.28914886713028,52.8125,0.8333333333333334,58.202591340569576,24.24876379416383
94,3277,374.2007161007172,1679,75,207.75443699865716,99.85124868154526,51.23588648153799,2.2886786695148,55.519518819611086,26.68387429132284
95,3725,346.6933795089414,1674,81,144.20118578625375,125.09677767753601,44.939597315436245,2.174496644295302,41.59329087578804,36.08282853705595
96,186,27.784785646501177,117,2,23.857929692785895,3.226820170879364,62.903225806451616,1.075268817204301,85.86688411537278,11.613622692409377
97,192,25.675881673040493,121,3,14.589123704337311,10.348812878131866,63.020833333333336,1.5625,56.820341712572215,40.3055794146226
98,2367,238.43657648645885,1233,50,128.64860567152195,72.7291989326477,52.09125475285171,2.1123785382340516,53.955063257179454,30.502534470326157
99,1785,102.93688416399414,745,27,46.44008928185065,42.36790257692337,41.73669467787115,1.5126050420168067,45.11511073898887,41.159107273370395
100,247,44.77242120673097,147,4,34.242452800107706,8.904828667640686,59.51417004048583,1.6194331983805668,76.4811280631832,19.889093391942712
101,457,85.0285097211306,216,19,47.71240308514247,29.106623709201813,47.264770240700216,4.157549234135668,56.11341800723736,34.23160514592492
102,3910,587.5123525280683,1907,137,290.9160356497826,182.45132726430893,48.77237851662404,3.50383631713555,49.51658197448438,31.054892119156314
103,1584,155.21244016856195,919,26,88.01069346752644,43.74121308326721,58.01767676767677,1.6414141414141414,56.703375948439515,28.181512406971958
104,365,13.101409894611818,220,4,6.764519546046729,4.912641286849976,60.273972602739725,1.095890410958904,51.63199686492333,37.49704288597508
105,428,88.87421430945729,229,17,44.35195052461362,38.583809435367584,53.504672897196265,3.97196261682243,49.90418297278161,43.41395278164704
106,234,57.02301413679734,150,10,28.779934277956457,26.360535979270935,64.1025641025641,4.273504273504273,50.47073486665197,46.22788952550353
107,889,50.68649911604178,494,14,21.570380442363273,23.340886294841766,55.56805399325084,1.5748031496062993,42.55646142176835,46.049513582315264
108,3273,301.15715628096916,1550,75,125.29454984027241,119.60746783018112,47.35716468072105,2.2914757103574703,41.604374070851215,39.715964019328005
109,306,61.4059264802116,191,9,44.29441266734737,13.584779858589172,62.41830065359477,2.9411764705882355,72.13377471248072,22.12291327119206
