rock_id,rock_token,rock_freq,rock_mean_kl,rock_freq_mean,ctrl_id,ctrl_token,ctrl_freq,ctrl_mean_kl,ctrl_freq_mean,rock_decoded,ctrl_decoded
4416,<id=4416>,377,0.4279116792814366,161.3227030891016,24884,<id=24884>,169,0.0507993993445832,8.585098489234571,'So','^\\'
198,<id=198>,2686,0.0593839940547392,159.5054080310296,273,<id=273>,93,1.5910335365354167e-06,0.0001479661188977,'\n','le'
304,<id=304>,357,0.4430268826847167,158.16059711844386,387,<id=387>,164,0.083436929846439,13.683656494815995,' in',' be'
284,<id=284>,2657,0.0557672345793135,148.1735422772362,1741,<id=1741>,96,0.3101726517346869,29.776574566529945,' =',' such'
10061,<id=10061>,271,0.5357040808284917,145.17580590452127,10374,<id=10374>,169,0.0164924833515356,2.787229686409532,'Let','math'
70894,<id=70894>,198,0.6658815684727369,131.8445505576019,88,<id=88>,168,0.0399490615108295,6.7114423338193605,' Understand','y'
576,<id=576>,206,0.6374579476078469,131.31633720721646,340,<id=340>,158,0.1520563162109655,24.024897961332552,' The',')\n'
12,<id=12>,1472,0.0838872867236068,123.48208605714936,46912,<id=46912>,95,0.2401143839671405,22.810866476878346,'-',' denominator'
17,<id=17>,3623,0.0318444753108926,115.37253405136396,25780,<id=25780>,81,0.161091551418807,13.048415664923366,'2',' integers'
311,<id=311>,1129,0.0994058763758728,112.2292344283604,1459,<id=1459>,101,0.2248116995205536,22.70598165157592,' to',' point'
856,<id=856>,722,0.1553732875769508,112.17951363055852,1119,<id=1119>,77,0.0940500413089877,7.241853180792052,' x',' into'
582,<id=582>,360,0.311251566222847,112.05056384022492,91,<id=91>,139,0.0306497135037294,4.260310177018392,' we','|'
59,<id=59>,846,0.1302470037386801,110.18896516292337,2359,<id=2359>,103,0.1892732142847662,19.495141071330924,'\\','left'
14374,<id=14374>,1000,0.1030711160315877,103.07111603158778,87,<id=87>,930,0.0330561710329288,30.742239060623824,'###','x'
5443,<id=5443>,131,0.7739671848846597,101.3897012198904,594,<id=594>,128,0.1428214420283939,18.28114457963443,' Use',"""'s"""
429,<id=429>,393,0.255730670036718,100.50215332443018,15087,<id=15087>,133,0.0351741554004913,4.6781626682653545,' that',')$'
488,<id=488>,1620,0.0619591273789591,100.37378635391384,15159,<id=15159>,116,0.0351955848208363,4.082687839217017,' +','_{'
25,<id=25>,1348,0.0736133565613114,99.23080464464788,79,<id=79>,99,0.0283272317086566,2.8043959391570112,':','p'
785,<id=785>,183,0.5188651582904197,94.9523239671468,3019,<id=3019>,122,0.0623029587735861,7.600960970377514,'The',' step'
624,<id=624>,253,0.3632110193327397,91.89238789118316,389,<id=389>,109,0.2195301135949107,23.928782381845267,'.\n',' on'
448,<id=448>,219,0.403784691761594,88.42884749578909,2555,<id=2555>,119,6.294922012776784e-05,0.0074909571952043,' with','atrix'
13,<id=13>,506,0.1707500189597107,86.39950959361362,11067,<id=11067>,119,0.1122387487614425,13.356411102611665,'.',' sides'
3,<id=3>,387,0.2231858944747321,86.37294116172133,9334,<id=9334>,117,0.2256717951503967,26.40360003259642,'$',' square'
362,<id=362>,171,0.501299041893608,85.72213616380697,13233,<id=13233>,157,0.0001488440367677,0.0233685137725405,' A','bf'
2303,<id=2303>,229,0.3725808548588004,85.3210157626653,77,<id=77>,188,0.147570038699329,27.743167275473866,'  \n','n'
57960,<id=57960>,206,0.381847299137057,78.66054362223375,29776,<id=29776>,195,0.0382020491404786,7.449399582393345,' $\\',')^'
504,<id=504>,200,0.3666269685588793,73.32539371177586,80,<id=80>,135,0.0490968403957979,6.628073453432728,' from','q'
18,<id=18>,1832,0.0390620015484849,71.56158683682449,425,<id=425>,105,0.0514740650751466,5.4047768328904,'3',' B'
19,<id=19>,1378,0.0494764271752496,68.17851664749404,25046,<id=25046>,115,0.1150083611529755,13.225961532592189,'4','$\n'
92,<id=92>,1139,0.0573560929675908,65.32858989008598,72,<id=72>,124,0.2086206556528557,25.86896130095412,'}','i'
1372,<id=1372>,297,0.2119188458814,62.93989722677582,2176,<id=2176>,107,0.2879197567879383,30.807413976309405,' number',' both'
12549,<id=12549>,82,0.7543076197859332,61.85322482244652,825,<id=825>,82,0.1468469115784502,12.041446749432918,'Since',' one'
1205,<id=1205>,122,0.484161318942399,59.06768091097268,366,<id=366>,106,0.0477135951685622,5.0576410878675935,' We',' <'
1477,<id=1477>,407,0.1426416351283084,58.055145497221545,379,<id=379>,311,0.0439183486053348,13.65860641625913,' find',' y'
97219,<id=97219>,180,0.3151843994287349,56.73319189717228,3793,<id=3793>,90,0.199725729150628,17.975315623556526,"'**,'",' terms'
481,<id=481>,1360,0.0413148366342778,56.18817782261791,4647,<id=4647>,94,0.1263608376709882,11.877918741072891,' -',' term'
1986,<id=1986>,96,0.5814560362052141,55.81977947570056,74,<id=74>,96,0.0395272672906078,3.794617659898352,'This','k'
553,<id=553>,359,0.1514953914208607,54.38684552008902,2075,<id=2075>,296,0.0708560179161711,20.973381303186656,' by','(x'
369,<id=369>,227,0.2367869364164606,53.75063456653656,2629,<id=2629>,101,0.2737119291083749,27.64490483994587,' for',' sum'
90,<id=90>,1894,0.0281781148909947,53.369349603544094,438,<id=438>,115,0.1938851644027005,22.29679390631056,'{',' as'
532,<id=532>,415,0.1285448984501161,53.346132856798185,7,<id=7>,286,0.1043204772050376,29.835656480640758,'}\n','('
419,<id=419>,210,0.2530436309534374,53.139162500221865,35702,<id=35702>,147,0.0403908505209283,5.93745502657647,' this','{\\'
7493,<id=7493>,132,0.3953663634272163,52.18835997239256,31716,<id=31716>,108,0.0300909782278239,3.249825648604987,' expression','}$'
4588,<id=4588>,147,0.3522035492058291,51.77392173325688,24984,<id=24984>,97,1.7241782311204962e-06,0.0001672452884186,' asked',' \\\\'
3983,<id=3983>,81,0.6348978031180903,51.42672205256532,1657,<id=1657>,81,0.0049068736734933,0.3974567675529599,'But',' many'
15,<id=15>,2061,0.0245292723486961,50.55483031066271,15170,<id=15170>,817,0.0199748521508071,16.31945420720944,'0','}{'
2661,<id=2661>,424,0.118293824455987,50.15658156933853,293,<id=293>,271,0.0359064062604857,9.73063609659163,' given',' b'
1817,<id=1817>,153,0.3241007932932305,49.58742137386427,5187,<id=5187>,138,0.0001224342458449,0.016895925926601,' each','pm'
20,<id=20>,1350,0.0361569436998682,48.81187399482213,5109,<id=5109>,99,0.0921799322616716,9.125813293905496,'5',' numbers'
646,<id=646>,166,0.2934869664686561,48.71883643379691,43298,<id=43298>,161,1.0139698648825235e-06,0.000163249148246,' can','circ'
1378,<id=1378>,146,0.3328905688933062,48.60202305842271,2493,<id=2493>,94,0.1054316512999193,9.910575222192415,' two','pi'
64,<id=64>,285,0.1559391325484908,44.44265277631988,15940,<id=15940>,132,0.1455084254300325,19.20711215676429,'a','sin'
7039,<id=7039>,71,0.6197645188695022,44.00328083973466,393,<id=393>,71,0.0514148730940387,3.6504559896767503,'Now',' P'
1184,<id=1184>,96,0.4573366947907497,43.90432269991197,6785,<id=6785>,94,0.280816175839367,26.3967205289005,' need',' positive'
476,<id=476>,82,0.5343578464366664,43.817343407806646,356,<id=356>,80,0.0528381415796835,4.227051326374687,' or',' C'
21,<id=21>,900,0.0478493627233226,43.0644264509904,47822,<id=47822>,103,0.0076570042728314,0.7886714401016409,'6','^{'
23606,<id=23606>,185,0.2297634991216668,42.50624733750836,897,<id=897>,93,0.105874336896686,9.8463133313918,' equation',' value'
1969,<id=1969>,102,0.4132107625384472,42.14749777892161,10,<id=10>,93,0.0710369646772296,6.6064377149823565,' must','+'
748,<id=748>,202,0.2069660964136151,41.807151475550256,2376,<id=2376>,150,0.0096786544567447,1.4517981685117194,'’s',')('
24437,<id=24437>,263,0.1586849205682973,41.73413410946219,62,<id=62>,256,0.0088450044972407,2.264321151293644,' $\n','_'
12564,<id=12564>,118,0.3498046238197529,41.27694561073084,21495,<id=21495>,90,0.1098754935514225,9.888794419628027,' compute',' triangle'
702,<id=702>,113,0.3602682815454763,40.710315814638825,11397,<id=11397>,89,0.1847801613369503,16.445434358988585,' has',' →'
432,<id=432>,113,0.359654335456555,40.64093990659072,2593,<id=2593>,88,0.2191414762848513,19.284449913066915,' it','mod'
61,<id=61>,1126,0.0360011459044709,40.53729028843431,54876,<id=54876>,97,0.3069457245034677,29.773735276836373,'^',"'$,'"
773,<id=773>,135,0.2922313805280501,39.45123637128677,1366,<id=1366>,85,0.3037403677022025,25.81793125468721,' so',' want'
1156,<id=1156>,56,0.6979172790282338,39.08336762558109,83,<id=83>,56,0.0116741432563423,0.6537520223551723,' first','t'
678,<id=678>,131,0.2937900866521157,38.48650135142716,32,<id=32>,85,0.1790220356845235,15.216873033184498,' all','A'
614,<id=614>,86,0.4369587037273169,37.57844852054925,256,<id=256>,84,0.0692208999741069,5.8145555978249845,' have','  '
861,<id=861>,100,0.3695519680311553,36.955196803115534,15976,<id=15976>,83,0.0282750428257226,2.3468285545349765,' >','theta'
1290,<id=1290>,62,0.5949047747694101,36.88409603570342,67,<id=67>,62,0.1833958093974182,11.37054018263993,' right','d'
0,<id=0>,70,0.52301231217533,36.610861852273096,281,<id=281>,70,0.0284579324036732,1.9920552682571289,'!',' p'
22,<id=22>,599,0.0588693668187453,35.26275072442848,24,<id=24>,583,0.0432214812319386,25.19812355822021,'7','9'
7546,<id=7546>,89,0.3915813991712611,34.85074452624224,3204,<id=3204>,79,0.2693944672596586,21.282162913513037,' integer',' possible'
458,<id=458>,77,0.4504977905765378,34.68832987439341,89,<id=89>,77,0.0014205719589783,0.1093840408413346,' an','z'
518,<id=518>,143,0.2373961566923334,33.94765040700368,11035,<id=11035>,79,0.1091566342018631,8.623374101947185,' at','}\\'
1147,<id=1147>,112,0.2929942927647185,32.81536078964848,3229,<id=3229>,78,0.0803556596289343,6.267741451056878,' z',' told'
37018,<id=37018>,900,0.0363203206557497,32.68828859017473,50853,<id=50853>,278,0.0606988450470962,16.874278923092753,'frac','cdot'
84500,<id=84500>,275,0.1166651359716138,32.082912392193805,3704,<id=3704>,77,0.0627201111353965,4.829448557425538,' $\n\n',' root'
50,<id=50>,57,0.5463688554421591,31.14302476020307,335,<id=335>,57,0.0776325783448671,4.425056965657428,'S',' }'
