token_id,frequency,rock_count,rock_rate,avg_loss_before,avg_loss_after,avg_improvement,avg_teacher_entropy,avg_student_entropy_before,avg_student_entropy_after,rank_by_rate,rank_by_count,token_string
5435,102,33,0.3235294117647059,0.6147208993084039,0.6438926908552222,-0.02917179154681826,1.1154506727756348,1.0858906355846842,1.089918934223105,146,1021, related
3644,103,33,0.32038834951456313,0.6578555049063812,0.650138654348488,0.007716850557893173,0.8962051557537358,0.9033721859470452,0.9510643077434501,153,1022, global
9429,103,32,0.3106796116504854,0.6406954312560516,0.6946253365615145,-0.05392990530546293,1.0238843551758259,1.122801051308595,1.0908230138424435,179,1039, compare
4460,87,31,0.3563218390804598,0.7903092059938387,0.7115722240976475,0.07873698189619116,1.5965682814090416,1.7641799934636588,1.686577993477213,85,1061, trying
1592,95,31,0.3263157894736842,0.8682963525043976,0.9517062576485243,-0.08340990514412672,0.9981994522269815,1.1421930906776603,1.006293365822038,132,1062,Key
1204,97,30,0.30927835051546393,0.8993174317916951,0.8470679967251328,0.05224943506656232,1.6284052183486752,1.6127667511362083,1.606218514983187,182,1085,very
11508,97,30,0.30927835051546393,0.6206189589802963,0.6093044501474876,0.011314508832808712,1.3463486497453654,1.2726897548346483,1.221396075897687,183,1086, leads
15955,99,30,0.30303030303030304,0.8322775323185028,0.8523778000420391,-0.020100267723536347,0.958323541044797,0.8972046453634752,0.8111167571490738,196,1087, outer
21144,59,29,0.4915254237288136,1.4430738728556594,1.6225376716199316,-0.1794637987642722,1.0576996056331416,1.353018911871112,1.2730814909278336,9,1115, Consider
2990,71,29,0.4084507042253521,0.8192918202603227,0.9164333018896921,-0.09714148162936942,1.0159154180274623,1.0338433307227552,0.8831902204827355,39,1116, lead
7500,80,28,0.35,0.8490815485904022,0.8904248524158902,-0.04134330382548801,1.1635300356865628,1.1510021520611189,1.1298621925732732,97,1153, adjust
2118,89,28,0.3146067415730337,1.0798553509397035,1.0573083454470955,0.02254700549260802,1.3239408809314952,1.2450418979599234,1.2925127751371834,165,1154, direct
1584,92,28,0.30434782608695654,0.6866916217089194,0.8022084141400979,-0.11551679243117852,1.003739157347809,0.957957211234988,0.8807047469814754,194,1155, state
43821,76,27,0.35526315789473684,1.113969700656047,1.0810157521872927,0.03295394846875421,1.183552447412359,1.2879059660787646,1.2638969120912646,86,1181, Important
6099,56,26,0.4642857142857143,0.7709699523090551,0.8469892479426692,-0.07601929563361409,1.365738427095721,1.3435633082678708,1.2720742639477456,14,1211, remember
10295,59,26,0.4406779661016949,0.6407764930845985,0.7122919317553916,-0.07151543867079313,1.1192175177412476,1.09007887311334,1.0295590528853917,21,1212, examples
3226,71,26,0.36619718309859156,0.9123457161114367,0.9018782538257614,0.0104674622856753,1.1197814795798406,1.0348354747755095,1.1593235261114156,72,1213,sl
4714,77,26,0.33766233766233766,0.44022372047577124,0.5592818346102088,-0.11905811413443751,0.7415617792788577,0.847458567110483,0.7050781575959122,115,1214, issues
28654,83,26,0.3132530120481928,0.6543548908884588,0.8151345055706444,-0.1607796146821856,0.6281805521371351,0.6522844395943326,0.7333598049386906,172,1215, (`
38775,57,25,0.43859649122807015,0.5723507678602912,1.2990455174103293,-0.7266947495500381,0.2691515675177103,0.42197028744818743,0.3330045276190759,23,1254, Removes
12681,75,25,0.3333333333333333,1.0110747982883428,0.9395242929729284,0.0715505053154144,0.9439701539761639,0.9396870653346802,0.8595867683955779,117,1255,-like
7199,76,25,0.32894736842105265,1.0313562525089335,1.0574517837947879,-0.0260955312858544,1.422498544181795,1.4049599358603653,1.3709722674240383,128,1256, limited
3746,60,24,0.4,0.7816271963548691,0.8012341346979762,-0.019606938343107116,1.1328994740732015,1.2418526460106174,1.2708379566591854,48,1285, strong
47856,76,24,0.3157894736842105,0.6603907892652052,0.6306692742264682,0.02972151503873699,1.0763974833351218,1.0303239330931224,1.0364525617271858,163,1286,avoid
40325,77,24,0.3116883116883117,0.6450906345446672,0.6350875551534163,0.01000307939125089,0.9797313073071705,1.0255566365146018,0.950899076802269,174,1287, Algorithm
2632,42,23,0.5476190476190477,0.8805008687507195,1.0175000234199356,-0.13699915466921608,1.3477099848319736,1.4619737896012208,1.4194026848133598,1,1319, little
37165,49,23,0.46938775510204084,0.9117563967907811,1.090692636710164,-0.1789362399193828,0.9951965380222442,0.9929134603874872,0.8936476645497035,12,1320,roots
12831,67,23,0.34328358208955223,0.7535321705404725,0.7304667295651761,0.023065440975296392,1.501124830833122,1.5464835745185168,1.5135957271750293,107,1321, considering
