rock_id,rock_token,rock_freq,rock_mean_kl,rock_freq_mean,ctrl_id,ctrl_token,ctrl_freq,ctrl_mean_kl,ctrl_freq_mean
5443,<id=5443>,131,0.7739671848846597,101.38970121989041,594,<id=594>,128,0.14282144202839397,18.28114457963443
429,<id=429>,393,0.255730670036718,100.50215332443018,15087,<id=15087>,133,0.03517415540049139,4.6781626682653545
488,<id=488>,1620,0.06195912737895915,100.37378635391383,15159,<id=15159>,116,0.03519558482083635,4.082687839217017
25,<id=25>,1348,0.07361335656131149,99.23080464464789,79,<id=79>,99,0.02832723170865668,2.8043959391570112
785,<id=785>,183,0.5188651582904197,94.9523239671468,3019,<id=3019>,122,0.06230295877358618,7.600960970377514
624,<id=624>,253,0.3632110193327397,91.89238789118315,389,<id=389>,109,0.2195301135949107,23.928782381845267
448,<id=448>,219,0.403784691761594,88.42884749578909,2555,<id=2555>,119,6.294922012776784e-05,0.007490957195204374
13,<id=13>,506,0.1707500189597107,86.39950959361362,11067,<id=11067>,119,0.11223874876144256,13.356411102611665
3,<id=3>,387,0.2231858944747321,86.37294116172133,9334,<id=9334>,117,0.22567179515039673,26.40360003259642
362,<id=362>,171,0.501299041893608,85.72213616380697,13233,<id=13233>,157,0.00014884403676777397,0.02336851377254051
2303,<id=2303>,229,0.37258085485880044,85.3210157626653,77,<id=77>,188,0.14757003869932908,27.743167275473866
57960,<id=57960>,206,0.381847299137057,78.66054362223375,29776,<id=29776>,195,0.03820204914047869,7.449399582393345
504,<id=504>,200,0.3666269685588793,73.32539371177586,80,<id=80>,135,0.04909684039579799,6.628073453432728
18,<id=18>,1832,0.039062001548484986,71.56158683682449,425,<id=425>,105,0.051474065075146666,5.4047768328904
19,<id=19>,1378,0.049476427175249665,68.17851664749404,25046,<id=25046>,115,0.11500836115297555,13.225961532592189
92,<id=92>,1139,0.05735609296759085,65.32858989008598,72,<id=72>,124,0.20862065565285579,25.86896130095412
1372,<id=1372>,297,0.21191884588140006,62.93989722677582,2176,<id=2176>,107,0.28791975678793835,30.807413976309405
12549,<id=12549>,82,0.7543076197859332,61.85322482244652,825,<id=825>,82,0.14684691157845023,12.041446749432918
1205,<id=1205>,122,0.48416131894239905,59.06768091097268,366,<id=366>,106,0.0477135951685622,5.0576410878675935
1477,<id=1477>,407,0.14264163512830846,58.055145497221545,379,<id=379>,311,0.04391834860533482,13.65860641625913
97219,<id=97219>,180,0.3151843994287349,56.733191897172276,3793,<id=3793>,90,0.19972572915062806,17.975315623556526
481,<id=481>,1360,0.041314836634277874,56.18817782261791,4647,<id=4647>,94,0.1263608376709882,11.877918741072891
1986,<id=1986>,96,0.5814560362052141,55.81977947570056,74,<id=74>,96,0.03952726729060783,3.7946176598983516
553,<id=553>,359,0.15149539142086077,54.38684552008902,2075,<id=2075>,296,0.07085601791617113,20.973381303186656
369,<id=369>,227,0.23678693641646062,53.75063456653656,2629,<id=2629>,101,0.27371192910837494,27.64490483994587
90,<id=90>,1894,0.02817811489099477,53.369349603544094,438,<id=438>,115,0.1938851644027005,22.29679390631056
532,<id=532>,415,0.1285448984501161,53.346132856798185,7,<id=7>,286,0.1043204772050376,29.835656480640754
419,<id=419>,210,0.25304363095343746,53.139162500221865,35702,<id=35702>,147,0.04039085052092837,5.93745502657647
7493,<id=7493>,132,0.3953663634272163,52.188359972392554,31716,<id=31716>,108,0.030090978227823955,3.249825648604987
4588,<id=4588>,147,0.35220354920582914,51.773921733256884,24984,<id=24984>,97,1.7241782311204962e-06,0.00016724528841868813
3983,<id=3983>,81,0.6348978031180903,51.42672205256532,1657,<id=1657>,81,0.004906873673493332,0.3974567675529599
15,<id=15>,2061,0.024529272348696122,50.55483031066271,15170,<id=15170>,817,0.019974852150807146,16.31945420720944
2661,<id=2661>,424,0.11829382445598709,50.15658156933853,293,<id=293>,271,0.03590640626048572,9.73063609659163
1817,<id=1817>,153,0.3241007932932305,49.58742137386427,5187,<id=5187>,138,0.00012243424584493516,0.016895925926601052
20,<id=20>,1350,0.036156943699868244,48.81187399482213,5109,<id=5109>,99,0.09217993226167168,9.125813293905496
646,<id=646>,166,0.2934869664686561,48.71883643379691,43298,<id=43298>,161,1.0139698648825235e-06,0.0001632491482460863
1378,<id=1378>,146,0.3328905688933062,48.60202305842271,2493,<id=2493>,94,0.10543165129991933,9.910575222192417
64,<id=64>,285,0.15593913254849082,44.44265277631988,15940,<id=15940>,132,0.1455084254300325,19.20711215676429
